"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1549","User login with wrong email or password","LMS system","Wed May 06 09:20:00 UTC 2026","passed","Wed May 06 09:20:01 UTC 2026","Authorization","Authentication","",""
"","1819","Check displaying of create course page in default state","LMS system","Wed May 06 09:20:10 UTC 2026","passed","Wed May 06 09:20:11 UTC 2026","Courses","Courses","",""
"","1701","User registration with correct email, username and password","LMS system","Wed May 06 09:20:03 UTC 2026","passed","Wed May 06 09:20:05 UTC 2026","Registration","Authentication","",""
"","1458","Navigate from login page to registration page","LMS system","Wed May 06 09:20:01 UTC 2026","passed","Wed May 06 09:20:03 UTC 2026","Authorization","Authentication","",""
"","2697","Check to edit course","LMS system","Wed May 06 09:20:13 UTC 2026","passed","Wed May 06 09:20:16 UTC 2026","Courses","Courses","",""
"","1655","User login with wrong email or password","LMS system","Wed May 06 09:20:07 UTC 2026","passed","Wed May 06 09:20:09 UTC 2026","Authorization","Authentication","",""
"","9426","User login with correct email and password","LMS system","Wed May 06 09:19:57 UTC 2026","passed","Wed May 06 09:20:07 UTC 2026","Authorization","Authentication","",""
"","1804","Check displaying of empty courses list","LMS system","Wed May 06 09:20:06 UTC 2026","passed","Wed May 06 09:20:08 UTC 2026","Courses","Courses","",""
"","2353","Check displaying of Dashboard page","LMS system","Wed May 06 09:20:14 UTC 2026","passed","Wed May 06 09:20:17 UTC 2026","Dashboard","Dashboard","",""
"","2205","Check displaying of create course page with image and form","LMS system","Wed May 06 09:20:10 UTC 2026","passed","Wed May 06 09:20:12 UTC 2026","Courses","Courses","",""
"","2042","User login with wrong email or password","LMS system","Wed May 06 09:19:57 UTC 2026","passed","Wed May 06 09:19:59 UTC 2026","Authorization","Authentication","",""
