"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1635","User registration with correct email, username and password","LMS system","Tue Apr 28 10:37:52 UTC 2026","passed","Tue Apr 28 10:37:54 UTC 2026","Registration","Authentication","",""
"","1925","Check displaying of create course page in default state","LMS system","Tue Apr 28 10:37:59 UTC 2026","passed","Tue Apr 28 10:38:01 UTC 2026","Courses","Courses","",""
"","1477","Navigate from login page to registration page","LMS system","Tue Apr 28 10:37:50 UTC 2026","passed","Tue Apr 28 10:37:52 UTC 2026","Authorization","Authentication","",""
"","2425","Check displaying of Dashboard page","LMS system","Tue Apr 28 10:38:03 UTC 2026","passed","Tue Apr 28 10:38:05 UTC 2026","Dashboard","Dashboard","",""
"","2140","Check displaying of empty courses list","LMS system","Tue Apr 28 10:37:55 UTC 2026","passed","Tue Apr 28 10:37:57 UTC 2026","Courses","Courses","",""
"","1809","User login with wrong email or password","LMS system","Tue Apr 28 10:37:48 UTC 2026","passed","Tue Apr 28 10:37:50 UTC 2026","Authorization","Authentication","",""
"","9224","User login with correct email and password","LMS system","Tue Apr 28 10:37:46 UTC 2026","passed","Tue Apr 28 10:37:55 UTC 2026","Authorization","Authentication","",""
"","1646","User login with wrong email or password","LMS system","Tue Apr 28 10:37:55 UTC 2026","passed","Tue Apr 28 10:37:57 UTC 2026","Authorization","Authentication","",""
"","2167","User login with wrong email or password","LMS system","Tue Apr 28 10:37:46 UTC 2026","passed","Tue Apr 28 10:37:48 UTC 2026","Authorization","Authentication","",""
"","2541","Check to edit course","LMS system","Tue Apr 28 10:38:03 UTC 2026","passed","Tue Apr 28 10:38:06 UTC 2026","Courses","Courses","",""
"","2800","Check displaying of create course page with image and form","LMS system","Tue Apr 28 10:37:59 UTC 2026","passed","Tue Apr 28 10:38:02 UTC 2026","Courses","Courses","",""
