"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1769","Check displaying of empty courses list","LMS system","Wed May 06 17:02:07 UTC 2026","passed","Wed May 06 17:02:09 UTC 2026","Courses","Courses","",""
"","2162","Check displaying of create course page with image and form","LMS system","Wed May 06 17:02:11 UTC 2026","passed","Wed May 06 17:02:13 UTC 2026","Courses","Courses","",""
"","1570","User login with wrong email or password","LMS system","Wed May 06 17:02:01 UTC 2026","passed","Wed May 06 17:02:02 UTC 2026","Authorization","Authentication","",""
"","1484","Navigate from login page to registration page","LMS system","Wed May 06 17:02:02 UTC 2026","passed","Wed May 06 17:02:04 UTC 2026","Authorization","Authentication","",""
"","9251","User login with correct email and password","LMS system","Wed May 06 17:01:58 UTC 2026","passed","Wed May 06 17:02:08 UTC 2026","Authorization","Authentication","",""
"","1774","Check displaying of create course page in default state","LMS system","Wed May 06 17:02:11 UTC 2026","passed","Wed May 06 17:02:12 UTC 2026","Courses","Courses","",""
"","1549","User login with wrong email or password","LMS system","Wed May 06 17:02:08 UTC 2026","passed","Wed May 06 17:02:10 UTC 2026","Authorization","Authentication","",""
"","1648","User registration with correct email, username and password","LMS system","Wed May 06 17:02:04 UTC 2026","passed","Wed May 06 17:02:06 UTC 2026","Registration","Authentication","",""
"","2558","Check to edit course","LMS system","Wed May 06 17:02:14 UTC 2026","passed","Wed May 06 17:02:17 UTC 2026","Courses","Courses","",""
"","1951","User login with wrong email or password","LMS system","Wed May 06 17:01:58 UTC 2026","passed","Wed May 06 17:02:00 UTC 2026","Authorization","Authentication","",""
"","2307","Check displaying of Dashboard page","LMS system","Wed May 06 17:02:15 UTC 2026","passed","Wed May 06 17:02:17 UTC 2026","Dashboard","Dashboard","",""
